Items Report
"May 9, 2025 12:00 AM - Aug 8, 2025 11:59 PM"
"Requested on: Aug 8, 2025 9:30 AM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."
Items assigned to multiple categories are reported in just one category (the one created first).

Gross Sales,"$289,728.26"
Net Sales,"$287,800.86"
COGS,$0.00
Gross Profit,"$186,882.30"
Gross Profit Margin,64.93%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Repayments,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
Uncategorized
,Hawaiian Sun/Coke Upcharge,$1.00,$1.00,2,0," "," ",-,$0.00,$0.00,$0.00,0.00%,$0.50,$0.00,$1.00
Total (Uncategorized),,"$101,056.01","$101,056.01",218,0,-," ",$0.00,$0.00,$0.00,$0.00,35.11%,$463.56,$0.00,$137.50

CUSTOM POKE
,CUSTOM BOWL,"$62,602.25","$61,935.19",3912,0," "," ",-,-$667.06,$0.00,$0.00,21.52%,$15.83,$0.00,"$61,935.19"
,," "," "," "," ",White Rice,185,$0.00," "," "," "," "," "," "," "
,," "," "," "," ",Brown Rice,28,$0.00," "," "," "," "," "," "," "
,," "," "," "," ",Mixed Greens,9,$0.00," "," "," "," "," "," "," "
,," "," "," "," ",White/Greens,26,$0.00," "," "," "," "," "," "," "
,," "," "," "," ",Brown/Greens,20,$0.00," "," "," "," "," "," "," "
,," "," "," "," ",Extra Sauces,27,$20.25," "," "," "," "," "," "," "
,," "," "," "," ",Ahi Tuna,148,$0.00," "," "," "," "," "," "," "
,," "," "," "," ",Fresh Salmon,141,$0.00," "," "," "," "," "," "," "
,," "," "," "," ",Fried Fish,7,$0.00," "," "," "," "," "," "," "
,," "," "," "," ",Octopus,102,$102.00," "," "," "," "," "," "," "
,," "," "," "," ",Fried Tofu,36,$0.00," "," "," "," "," "," "," "
,," "," "," "," ",Hula Chicken,46,$0.00," "," "," "," "," "," "," "
