Items Report
"Feb 7, 2025 12:00 AM - Aug 8, 2025 11:59 PM"
"Requested on: Aug 8, 2025 9:32 AM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."

Gross Sales,"$68,179.91"
Net Sales,"$66,290.19"
COGS,$0.00
Gross Profit,"$14,342.73"
Gross Profit Margin,21.64%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
Uncategorized
,," "," "," "," ","Extra Large 18""",4,$24.72," "," "," "," "," "," "
,," "," "," "," ","Large 16""",4,$16.48," "," "," "," "," "," "
,," "," "," "," ","Medium 14""",1,$2.06," "," "," "," "," "," "
,"6 Slices 12"" Pizza",$149.44,$149.44,10,0," "," ",-,$0.00,$0.00,0.23%,$14.94,-,-
,," "," "," "," ",Pepperoni,4,$6.36," "," "," "," "," "," "
,," "," "," "," ",Extra Cheese,1,$1.59," "," "," "," "," "," "
,," "," "," "," ",Sliced Meatballs,1,$1.59," "," "," "," "," "," "
,Meat Lovers,$142.88,$142.88,7,0," "," ",-,$0.00,$0.00,0.22%,$20.41,-,-
,," "," "," "," ",Pizza Sauce,3,$0.00," "," "," "," "," "," "
,," "," "," "," ","Large 16""",3,$17.01," "," "," "," "," "," "
,," "," "," "," ","Medium 14""",2,$7.22," "," "," "," "," "," "
,," "," "," "," ","Small 12""",2,$0.00," "," "," "," "," "," "
,Cheese Pizza,$139.16,$139.16,9,0," "," ",-,$0.00,$0.00,0.21%,$15.46,-,-
,," "," "," "," ",Crispy/Well Done,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Garlic Butter on Crust,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Regular,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Pizza Sauce,4,$0.00," "," "," "," "," "," "
,," "," "," "," ","Extra Large 18""",1,$6.18," "," "," "," "," "," "
,," "," "," "," ","Large 16""",5,$20.60," "," "," "," "," "," "
,," "," "," "," ","Medium 14""",3,$6.18," "," "," "," "," "," "
,"Cheese Pizza - Medium 14"" -  Regular Crust",$134.91,$134.91,9,0," "," ",-,$0.00,$0.00,0.20%,$14.99,-,-
,"Pepperoni Pizza - Medium 14"" - Regular Crust",$135.84,$133.77,8,0," "," ",-,-$2.07,$0.00,0.20%,$16.72,-,-
,Extravaganza (Supreme),$151.48,$132.85,8,0," "," ",-,-$18.63,$0.00,0.20%,$16.61,-,-
,," "," "," "," ",Pizza Sauce,3,$0.00," "," "," "," "," "," "
,," "," "," "," ","Large 16""",2,$10.50," "," "," "," "," "," "
,," "," "," "," ","Medium 14""",2,$6.18," "," "," "," "," "," "
,," "," "," "," ","Small 12""",4,$0.00," "," "," "," "," "," "
,Cheesesteak Sub - Single Size,$131.89,$131.89,11,0," "," ",-,$0.00,$0.00,0.20%,$11.99,-,-
,Small Calzone Cheese,$128.36,$128.36,9,0," "," ",-,$0.00,$0.00,0.19%,$14.26,-,-
,," "," "," "," ",Large,5,$20.45," "," "," "," "," "," "
,," "," "," "," ",Small,4,$0.00," "," "," "," "," "," "
,10 Wings,$127.92,$127.92,8,0," "," ",-,$0.00,$0.00,0.19%,$15.99,-,-
,," "," "," "," ",Extra Hot,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Garlic Parmesan,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Hot or Buffalo,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Plain - NO SAUCE,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Medium,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Blue Cheese,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",No Dressing,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Ranch,6,$0.00," "," "," "," "," "," "
,," "," "," "," ",10 Pieces,8,$0.00," "," "," "," "," "," "
,Meatball Parmigiana Sub - Single Size,$129.87,$127.87,13,0," "," ",-,-$2.00,$0.00,0.19%,$9.84,-,-
,Jamaican Beef Pattys - With Cheese,$126.00,$126.00,21,0," "," ",-,$0.00,$0.00,0.19%,$6.00,-,-
,"Cheese Pizza - Personal 10"" - Regular Crust",$129.87,$124.87,13,0," "," ",-,-$5.00,$0.00,0.19%,$9.61,-,-
,Zepollis - Single Size,$124.75,$124.75,25,0," "," ",-,$0.00,$0.00,0.19%,$4.99,-,-
,Small Cheese Calzone,$122.99,$122.99,10,0," "," ",-,$0.00,$0.00,0.19%,$12.30,-,-
,," "," "," "," ",Pepperoni,3,$3.57," "," "," "," "," "," "
,," "," "," "," ",Ricotta,1,$1.19," "," "," "," "," "," "
,," "," "," "," ",Grilled Chicken,1,$1.19," "," "," "," "," "," "
,," "," "," "," ",Onions,1,$1.19," "," "," "," "," "," "
,," "," "," "," ",Broccoli,1,$1.19," "," "," "," "," "," "
,," "," "," "," ",Ham,1,$1.19," "," "," "," "," "," "
,," "," "," "," ",Pineapple,1,$1.19," "," "," "," "," "," "
,," "," "," "," ",Bacon,1,$1.19," "," "," "," "," "," "
,," "," "," "," ",Sliced Meatballs,1,$1.19," "," "," "," "," "," "
,Custom Item,$120.00,$120.00,1,0," "," ",-,$0.00,$0.00,0.18%,$120.00,-,-
,Calzone Meat Lovers (custom 1) - Large,$118.86,$118.86,7,0," "," ",-,$0.00,$0.00,0.18%,$16.98,-,-
,"Pepperoni Pizza - Medium 14"" -  Regular Crust",$118.86,$118.86,7,0," "," ",-,$0.00,$0.00,0.18%,$16.98,-,-
,Small Calzone Meat Lover's,$134.28,$118.67,8,0," "," ",-,-$15.61,$0.00,0.18%,$14.83,-,-
,," "," "," "," ",Garlic Parmesan,2,$2.00," "," "," "," "," "," "
,," "," "," "," ",Large,4,$12.36," "," "," "," "," "," "
,," "," "," "," ",Small,4,$0.00," "," "," "," "," "," "
,Chicken Chunks (custom 1) - 3 Pounds,$116.97,$116.97,3,0," "," ",-,$0.00,$0.00,0.18%,$38.99,-,-
,Baked Ziti,$126.48,$113.31,10,0," "," ",-,-$13.17,$0.00,0.17%,$11.33,-,-
,," "," "," "," ",Alfredo Sauce,1,$3.99," "," "," "," "," "," "
,," "," "," "," ",Meat Sauce,3,$7.50," "," "," "," "," "," "
,," "," "," "," ",Chicken,2,$5.00," "," "," "," "," "," "
,," "," "," "," ",Broccoli,1,$1.99," "," "," "," "," "," "
